title,link
Appliance Parts Supplier Takes Over 500K SF In Pendergrass: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/appliance-parts-supplier-take-over-500k-sf-in-pendergrass-the-atlanta-deal-sheet
EQT Real Estate Sells 10M SF Southeast Logistics Portfolio,https://www.bisnow.com/news/national/industrial/eqt-sells-10m-sf-southeast-logistics-portfolio-to-california-firm
Developers Get Approval To Turn Mall Into NHL Arena. Now All They Need Is A Team,https://www.bisnow.com/news/atlanta/hospitality-entertainment/nhl-alpharetta-north-point-mall-jamestown-machete-new-york-life
Appraisal Knocks $78M In Value Off Huge Suburban Atlanta Mall,https://www.bisnow.com/news/atlanta/retail/arbor-place-mall-douglasville-appraisal-foreclosure
Sandy Springs Shopping Center Gets Incentives For Major Overhaul: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/sandy-springs-shopping-center-gets-incentives-for-major-overhaul-the-atlanta-deal-sheet
EXCLUSIVE: Industrial Outdoor Storage Investor Continues Buying Spree In Metro Atlanta,https://www.bisnow.com/news/atlanta/industrial/industrial-storage-investor-picks-up-buying-steam-in-metro-atlanta
Food And Beverage Increasingly Becoming Anchor In Mixed-Use Projects,https://www.bisnow.com/news/atlanta/mixed-use/food-and-beverage-increasingly-becoming-the-lifeblood-to-mixed-use-projects
Jackson Far Outraising Bottoms In CRE Donations In Georgia Governor's Race,https://www.bisnow.com/news/atlanta/economic-development/jackson-far-outraising-bottoms-georgia-governor-race-cre-execs-donations-campaign-finance
2 Steakhouses Land New Leases: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/two-steakhouses-land-new-leases-atlanta-deal-sheet
Investor Pays $98M For Foreclosed Downtown Atlanta Apartment Tower,https://www.bisnow.com/news/atlanta/multifamily/investor-pays-98m-for-foreclosed-downtown-atlanta-apartment-tower
Microsoft Moves To Undo Local Tax Breaks For Atlanta Data Center Projects,https://www.bisnow.com/news/atlanta/data-center/microsoft-seeks-to-undo-local-tax-incentives-for-data-center-projects-in-georgia
Portman's Ten Twenty Spring Nabs Refinancing: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/portman-ten-twenty-spring-nabs-278m-refinancing
New York Investor Buys Smyrna Flex Warehouse,https://www.bisnow.com/news/atlanta/industrial/new-york-outfit-buys-smyrna-flex-warehouse
Emory Takes Over Proton Center For $82M: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/emory-takes-over-atlanta-proton-center-for-82m-135640
Dewberry's Midtown Eyesore Quietly Resolves $75M Mortgage,https://www.bisnow.com/news/atlanta/capital-markets/dewberrys-midtown-eyesore-quietly-resolves-75m-mortgage-135621
Mesirow Pays $132M For Midtown Luxury Apartment Tower,https://www.bisnow.com/news/atlanta/multifamily/mesirow-pays-in-excess-of-400k-per-unit-for-midtown-apartments-135569
Self-Storage Sector Bounces Back As Investors Move Past Market 'Trough',https://www.bisnow.com/news/atlanta/self-storage/self-storage-sector-bounces-back-as-investors-move-past-market-trough-135566
Regent In Talks To Buy Tower Place 100: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/regent-partners-in-talks-to-buy-tower-place-100-135548
New Office Construction Is On Pause In Atlanta. Landlords Have A Chance To Fill Their Towers,https://www.bisnow.com/news/atlanta/office/atlantas-office-market-is-doing-great-just-not-good-enough-to-build-a-new-tower-135511
Brookhaven Apartment Tower Sells For $101M As Investors Target Prime Atlanta Properties,https://www.bisnow.com/news/atlanta/multifamily/brookhaven-apartment-sale-highlights-institutional-desire-prime-atlanta-properties-135439
Big-Box Leasing Returns To Atlanta's Industrial Market,https://www.bisnow.com/news/atlanta/industrial/atlanta-industrial-return-big-box-leasing-q2-135417
New Housing Law To Send Institutional Investors Flocking To Build-To-Rent,https://www.bisnow.com/news/atlanta/build-to-rent/federal-housing-law-atlanta-investors-build-to-rent-135402
Beleaguered Kennesaw Regional Mall Goes Back To Lender,https://www.bisnow.com/news/atlanta/retail/beleaguered-kennesaw-regional-mall-goes-back-to-lender-135386
Security Firm Moving To One Alliance Center: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/security-firm-moving-to-one-alliance-center-the-atlanta-deal-sheet-135371
Nashville-Based Lion Real Estate Buys Atlanta Apartments For $51M,https://www.bisnow.com/news/atlanta/multifamily/lion-roars-into-druid-hills-with-apartment-buy-135329
California Apartment Investor Nabs Sandy Springs Tower: The Atlanta Deal Sheet,https://www.bisnow.com/news/atlanta/deal-sheet/california-apartment-investor-nabs-sandy-springs-tower-the-atlanta-deal-sheet-135293
U.S. Government Seeks To Downsize EPA's Atlanta Office By 45%,https://www.bisnow.com/news/atlanta/office/us-government-seeks-to-downsize-epas-atlanta-office-lease-by-45-135282
Developer Seeks Approval To Expand Dunwoody's Campus 244,https://www.bisnow.com/news/atlanta/mixed-use/developer-seeks-approval-to-expand-dunwoodys-campus-244-135225
Real Capital Solutions Debuts In Atlanta With $50M Purchase Of 101 Marietta,https://www.bisnow.com/news/atlanta/capital-markets/real-capital-solutions-buys-landmark-atlanta-skyscraper-for-495m-135190
